Site,Date,N1 GC/100mL,N1 GC/mL,Flow Rate (MGD),Flow (Gal/Day),Flow (mL/Day),Total N1
GR,230101,7328.00,73.28,70.50,70500000,2.67E+11,2.86E+13
GR,230105,12901.33,129.01,42.90,42900000,1.62E+11,2.10E+13
GR,230119,10560.00,105.60,37.80,37800000,1.43E+11,1.51E+13
GR,230123,9514.67,95.15,37.20,37200000,1.41E+11,1.34E+13
GR,230216,8160.00,81.60,49.70,49700000,1.88E+11,1.54E+13
GR,230223,6120.00,61.20,42.90,42900000,1.62E+11,9.94E+12
GR,230522,36480.00,364.80,34.80,34800000,1.32E+11,4.81E+13
GR,230817,5573.33,55.73,39.10,39100000,1.48E+11,8.25E+12
GR,230821,5386.67,53.87,36.40,36400000,1.38E+11,7.42E+12
GR,230824,7480.00,74.80,38.00,38000000,1.44E+11,1.08E+13
GR,230831,7302.40,73.02,36.20,36200000,1.37E+11,1.00E+13
GR,230904,8864.00,88.64,30.80,30800000,1.17E+11,1.03E+13
GR,230911,4416.00,44.16,32.30,32300000,1.22E+11,5.40E+12
GR,230921,6272.00,62.72,34.00,34000000,1.29E+11,8.07E+12
GR,230925,7808.00,78.08,30.90,30900000,1.17E+11,9.13E+12
GR,230928,10614.40,106.14,32.90,32900000,1.25E+11,1.32E+13
GR,231002,8480.00,84.80,30.80,30800000,1.17E+11,9.89E+12
GR,231009,5568.00,55.68,35.70,35700000,1.35E+11,7.52E+12
GR,231016,9370.67,93.71,37.90,37900000,1.43E+11,1.34E+13
GR,231019,5880.00,58.80,36.70,36700000,1.39E+11,8.17E+12
GR,231106,9728.00,97.28,34.10,34100000,1.29E+11,1.26E+13
GR,231109,1320.00,13.20,40.40,40400000,1.53E+11,2.02E+12
GR,231113,6760.00,67.60,35.30,35300000,1.34E+11,9.03E+12
GR,231116,6144.00,61.44,36.10,36100000,1.37E+11,8.40E+12
GR,231120,24800.00,248.00,32.90,32900000,1.25E+11,3.09E+13
GR,231123,12800.00,128.00,37.40,37400000,1.42E+11,1.81E+13
GR,231127,15466.67,154.67,34.30,34300000,1.30E+11,2.01E+13
GR,231130,17477.33,174.77,35.80,35800000,1.36E+11,2.37E+13
GR,231204,9066.67,90.67,37.70,37700000,1.43E+11,1.29E+13
GR,231207,15200.00,152.00,37.80,37800000,1.43E+11,2.17E+13
GR,231211,20640.00,206.40,34.60,34600000,1.31E+11,2.70E+13
WB,220929,13120.00,131.20,2.72,2722000,1.03E+10,1.35E+12
WB,221010,17333.33,173.33,2.89,2894000,1.10E+10,1.90E+12
WB,221013,9600.00,96.00,2.88,2877000,1.09E+10,1.05E+12
WB,221027,12021.33,120.21,2.88,2876000,1.09E+10,1.31E+12
WB,221107,5408.00,54.08,2.80,2795000,1.06E+10,5.72E+11
WB,221110,106586.67,1065.87,2.71,2705000,1.02E+10,1.09E+13
WB,221121,10765.33,107.65,2.86,2855000,1.08E+10,1.16E+12
WB,221128,69296.00,692.96,2.80,2796000,1.06E+10,7.33E+12
WB,221201,21546.67,215.47,2.90,2900000,1.10E+10,2.37E+12
WB,221205,15946.67,159.47,2.90,2900000,1.10E+10,1.75E+12
WB,221208,36773.33,367.73,2.76,2756000,1.04E+10,3.84E+12
WB,221212,20736.00,207.36,2.86,2860000,1.08E+10,2.24E+12
WB,221215,18666.67,186.67,2.86,2858000,1.08E+10,2.02E+12
WB,221219,18368.00,183.68,2.92,2918000,1.10E+10,2.03E+12
WB,221228,11093.33,110.93,3.19,3185000,1.21E+10,1.34E+12
WB,230105,4133.33,41.33,3.03,3025000,1.15E+10,4.73E+11
WB,230112,9672.00,96.72,2.83,2828000,1.07E+10,1.04E+12
WB,230206,132373.33,1323.73,2.87,2871000,1.09E+10,1.44E+13
WB,230220,7833.60,78.34,3.18,3177000,1.20E+10,9.42E+11
WB,230223,30464.00,304.64,3.01,3014000,1.14E+10,3.48E+12
WB,230306,19946.67,199.47,3.40,3396000,1.29E+10,2.56E+12
WB,230309,6844.27,68.44,3.18,3177000,1.20E+10,8.23E+11
WB,230313,4341.33,43.41,3.25,3252000,1.23E+10,5.34E+11
WB,230316,9264.00,92.64,3.27,3271000,1.24E+10,1.15E+12
WB,230323,38720.00,387.20,3.14,3135000,1.19E+10,4.60E+12
WB,230327,15360.00,153.60,3.67,3667000,1.39E+10,2.13E+12
WB,230413,20480.00,204.80,3.59,3588000,1.36E+10,2.78E+12
WB,230417,9429.33,94.29,3.36,3357000,1.27E+10,1.20E+12
WB,230511,11440.00,114.40,3.07,3068000,1.16E+10,1.33E+12
WB,230703,8184.00,81.84,2.67,2672000,1.01E+10,8.28E+11
WB,230817,6336.00,63.36,3.21,3205000,1.21E+10,7.69E+11
WB,230821,5954.67,59.55,3.04,3042000,1.15E+10,6.86E+11
WB,230824,11968.00,119.68,2.84,2835000,1.07E+10,1.28E+12
WB,230831,7680.00,76.80,2.82,2817000,1.07E+10,8.19E+11
WB,230907,9445.33,94.45,2.83,2831000,1.07E+10,1.01E+12
WB,230914,31680.00,316.80,2.79,2785000,1.05E+10,3.34E+12
WB,230921,20826.67,208.27,2.72,2717000,1.03E+10,2.14E+12
WB,230925,27600.00,276.00,2.72,2715000,1.03E+10,2.84E+12
WB,230928,4920.00,49.20,2.74,2740000,1.04E+10,5.10E+11
WB,231002,8933.33,89.33,2.82,2823000,1.07E+10,9.55E+11
WB,231005,22933.33,229.33,2.89,2894000,1.10E+10,2.51E+12
WB,231009,37200.00,372.00,2.85,2845000,1.08E+10,4.01E+12
WB,231012,34906.67,349.07,2.71,2708000,1.03E+10,3.58E+12
WB,231023,6906.67,69.07,2.95,2951000,1.12E+10,7.72E+11
WB,231026,21765.00,217.65,3.10,3104000,1.17E+10,2.56E+12
WB,231109,5397.33,53.97,2.89,2887000,1.09E+10,5.90E+11
WB,231113,6864.00,68.64,2.93,2933000,1.11E+10,7.62E+11
WB,231116,20800.00,208.00,2.90,2899000,1.10E+10,2.28E+12
WB,231120,86240.00,862.40,2.92,2915000,1.10E+10,9.52E+12
WB,231127,57493.33,574.93,2.87,2870000,1.09E+10,6.25E+12
WB,231130,11456.00,114.56,2.94,2938000,1.11E+10,1.27E+12
WB,231204,20160.00,201.60,3.04,3035000,1.15E+10,2.32E+12
WB,231207,26400.00,264.00,2.92,2916000,1.10E+10,2.91E+12
WB,231211,33920.00,339.20,2.89,2891000,1.09E+10,3.71E+12
WK,220915,58613.33,586.13,1.89,1893000,7.17E+09,4.20E+12
WK,220919,10800.00,108.00,1.89,1888000,7.15E+09,7.72E+11
WK,220922,21706.67,217.07,1.82,1815000,6.87E+09,1.49E+12
WK,221013,9856.00,98.56,1.83,1833000,6.94E+09,6.84E+11
WK,221024,113568.00,1135.68,1.86,1857000,7.03E+09,7.98E+12
WK,221031,13440.00,134.40,1.87,1866000,7.06E+09,9.49E+11
WK,221103,9152.00,91.52,1.84,1839000,6.96E+09,6.37E+11
WK,221107,6968.00,69.68,1.81,1806000,6.84E+09,4.76E+11
WK,221110,12480.00,124.80,1.81,1806000,6.84E+09,8.53E+11
WK,221114,11093.33,110.93,1.84,1844000,6.98E+09,7.74E+11
WK,221117,8870.40,88.70,1.84,1840000,6.97E+09,6.18E+11
WK,221121,19040.00,190.40,1.82,1818000,6.88E+09,1.31E+12
WK,221128,907840.00,9078.40,2.03,2032000,7.69E+09,6.98E+13
WK,221201,12021.33,120.21,1.92,1916000,7.25E+09,8.72E+11
WK,221205,13781.33,137.81,1.91,1905000,7.21E+09,9.94E+11
WK,221208,20906.67,209.07,1.84,1837000,6.95E+09,1.45E+12
WK,221212,36730.67,367.31,1.89,1894000,7.17E+09,2.63E+12
WK,221215,178053.33,1780.53,1.96,1964000,7.43E+09,1.32E+13
WK,221219,13333.33,133.33,1.91,1910000,7.23E+09,9.64E+11
WK,221229,15360.00,153.60,2.17,2166000,8.20E+09,1.26E+12
WK,230105,21589.33,215.89,2.12,2117000,8.01E+09,1.73E+12
WK,230119,11856.00,118.56,2.10,2096000,7.93E+09,9.41E+11
WK,230206,10400.00,104.00,2.06,2061000,7.80E+09,8.11E+11
WK,230216,21056.00,210.56,2.10,2102000,7.96E+09,1.68E+12
WK,230220,30853.33,308.53,2.29,2287000,8.66E+09,2.67E+12
WK,230223,12373.33,123.73,2.20,2199000,8.32E+09,1.03E+12
WK,230302,52704.00,527.04,2.49,2491000,9.43E+09,4.97E+12
WK,230309,15232.00,152.32,2.19,2188000,8.28E+09,1.26E+12
WK,230313,3888.00,38.88,2.58,2577000,9.76E+09,3.79E+11
WK,230316,15418.67,154.19,2.37,2373000,8.98E+09,1.39E+12
WK,230323,12240.00,122.40,2.33,2331000,8.82E+09,1.08E+12
WK,230327,2845.87,28.46,2.69,2689000,1.02E+10,2.90E+11
WK,230417,13600.00,136.00,2.49,2489000,9.42E+09,1.28E+12
WK,230508,14506.67,145.07,2.20,2201000,8.33E+09,1.21E+12
WK,230814,12133.33,121.33,2.08,2079000,7.87E+09,9.55E+11
WK,230817,43680.00,436.80,2.10,2101000,7.95E+09,3.47E+12
WK,230824,5581.33,55.81,1.95,1950000,7.38E+09,4.12E+11
WK,230831,6265.60,62.66,1.81,1812000,6.86E+09,4.30E+11
WK,230911,10186.67,101.87,1.83,1826000,6.91E+09,7.04E+11
WK,230921,5824.00,58.24,1.83,1834000,6.94E+09,4.04E+11
WK,230928,5967.47,59.67,1.79,1794000,6.79E+09,4.05E+11
WK,231009,8480.00,84.80,1.88,1875000,7.10E+09,6.02E+11
WK,231012,8880.00,88.80,1.77,1769000,6.70E+09,5.95E+11
WK,231016,218880.00,2188.80,1.98,1979000,7.49E+09,1.64E+13
WK,231019,20298.67,202.99,1.85,1851000,7.01E+09,1.42E+12
WK,231023,6869.33,68.69,1.95,1951000,7.39E+09,5.07E+11
WK,231026,332160.00,3321.60,2.06,2062000,7.81E+09,2.59E+13
WK,231030,8042.67,80.43,2.01,2007000,7.60E+09,6.11E+11
WK,231102,5680.00,56.80,1.87,1873000,7.09E+09,4.03E+11
WK,231106,26293.33,262.93,1.86,1863000,7.05E+09,1.85E+12
WK,231113,6986.67,69.87,1.95,1954000,7.40E+09,5.17E+11
WK,231116,10800.00,108.00,1.86,1863000,7.05E+09,7.62E+11
WK,231120,117333.33,1173.33,1.77,1771000,6.70E+09,7.87E+12
WK,231127,55466.67,554.67,1.95,1946000,7.37E+09,4.09E+12
WK,231130,21712.00,217.12,1.93,1930000,7.31E+09,1.59E+12
WK,231204,1610400.00,16104.00,2.09,2094000,7.93E+09,1.28E+14
WK,231207,20800.00,208.00,1.99,1985000,7.51E+09,1.56E+12
WK,231211,35493.33,354.93,2.00,1996000,7.56E+09,2.68E+12
WY,220912,12640.00,126.40,12.86,12855000,4.87E+10,6.15E+12
WY,220915,17600.00,176.00,13.28,13277000,5.03E+10,8.85E+12
WY,220922,9292.80,92.93,13.34,13341000,5.05E+10,4.69E+12
WY,220929,56640.00,566.40,13.10,13099000,4.96E+10,2.81E+13
WY,221117,18944.00,189.44,13.01,13011000,4.93E+10,9.33E+12
WY,221128,26517.33,265.17,12.29,12287000,4.65E+10,1.23E+13
WY,221201,13578.67,135.79,13.58,13580000,5.14E+10,6.98E+12
WY,221205,32586.67,325.87,12.32,12316000,4.66E+10,1.52E+13
WY,221208,22800.00,228.00,12.28,12281000,4.65E+10,1.06E+13
WY,221212,20906.67,209.07,11.98,11977000,4.53E+10,9.48E+12
WY,221215,14549.33,145.49,13.30,13304000,5.04E+10,7.33E+12
WY,221219,14869.33,148.69,12.03,12029000,4.55E+10,6.77E+12
WY,230109,10215.47,102.15,13.37,13365000,5.06E+10,5.17E+12
WY,230123,13072.00,130.72,13.09,13091000,4.96E+10,6.48E+12
WY,230216,26026.67,260.27,14.58,14582000,5.52E+10,1.44E+13
WY,230220,16000.00,160.00,13.40,13400000,5.07E+10,8.12E+12
WY,230309,10315.20,103.15,15.53,15525000,5.88E+10,6.06E+12
WY,230320,13866.67,138.67,14.90,14900000,5.64E+10,7.82E+12
WY,230327,9298.13,92.98,15.59,15585000,5.90E+10,5.49E+12
WY,230413,11306.67,113.07,17.97,17972000,6.80E+10,7.69E+12
WY,230508,3938.67,39.39,13.76,13759000,5.21E+10,2.05E+12
WY,230814,6496.00,64.96,12.07,12071000,4.57E+10,2.97E+12
WY,230821,160906.67,1609.07,13.06,13056000,4.94E+10,7.95E+13
WY,230907,24240.00,242.40,14.17,14174000,5.37E+10,1.30E+13
WY,230914,8328.53,83.29,13.70,13701000,5.19E+10,4.32E+12
WY,230918,8500.80,85.01,12.11,12107000,4.58E+10,3.90E+12
WY,230921,8770.67,87.71,13.57,13571000,5.14E+10,4.51E+12
WY,230928,4720.00,47.20,13.34,13340000,5.05E+10,2.38E+12
WY,231002,5104.00,51.04,11.97,11967000,4.53E+10,2.31E+12
WY,231009,5360.00,53.60,12.29,12286000,4.65E+10,2.49E+12
WY,231023,10642.67,106.43,12.47,12466000,4.72E+10,5.02E+12
WY,231106,9386.67,93.87,12.40,12399000,4.69E+10,4.41E+12
WY,231116,13400.00,134.00,13.77,13769000,5.21E+10,6.98E+12
WY,231120,16560.00,165.60,12.01,12011000,4.55E+10,7.53E+12
WY,231127,14213.33,142.13,11.94,11935000,4.52E+10,6.42E+12
WY,231130,21413.33,214.13,13.49,13485000,5.10E+10,1.09E+13
WY,231204,16426.67,164.27,12.50,12496000,4.73E+10,7.77E+12
WY,231207,8320.00,83.20,13.76,13756000,5.21E+10,4.33E+12
WY,231211,19066.67,190.67,12.22,12222000,4.63E+10,8.82E+12
